case,reference_case,comparison_set,case_is_eligible_reference,eligible_reference_count,angle_group,signed_mean_db,rms_db,max_abs_db,max_abs_freq_hz,max_abs_angle_deg
profile-ring-compact-svd,modal-compact2,source_cv_recommended_juan_only,False,6,80_90,-9.934544538013666,16.05472135064219,26.67957137857593,734.4321259827932,90.0
profile-ring-compact-svd,modal-compact2,source_cv_recommended_juan_only,False,6,90,-22.382986400163446,22.448339329980193,26.67957137857593,734.4321259827932,90.0
profile-ring-compact-svd,modal-full2,source_cv_recommended_juan_only,False,6,0_60,0.6143640274766786,1.1262584901864372,4.024488004795359,824.3721884748535,60.0
profile-ring-compact-svd,modal-full2,source_cv_recommended_juan_only,False,6,70_90,-5.874826958849472,13.358958303047917,26.856013122534357,734.4321259827932,90.0
profile-ring-compact-svd,modal-full2,source_cv_recommended_juan_only,False,6,80_90,-10.045329548681705,16.23564439007856,26.856013122534357,734.4321259827932,90.0
profile-ring-compact-svd,modal-full2,source_cv_recommended_juan_only,False,6,90,-22.632002934010977,22.703254972681847,26.856013122534357,734.4321259827932,90.0
profile-ring-compact-svd,modal-compact3,source_cv_recommended_juan_only,False,6,0_60,0.3705907055669836,0.9575721208536156,3.1188297115922055,824.3721884748535,60.0
profile-ring-compact-svd,modal-compact3,source_cv_recommended_juan_only,False,6,70_90,-5.249188279416757,11.511352392035224,22.3009832170929,734.4321259827932,90.0
profile-ring-compact-svd,modal-compact3,source_cv_recommended_juan_only,False,6,80_90,-8.670096275818027,14.003975636310622,22.3009832170929,734.4321259827932,90.0
profile-ring-compact-svd,modal-compact3,source_cv_recommended_juan_only,False,6,90,-19.392343356938717,19.558992417715995,22.3009832170929,734.4321259827932,90.0
profile-ring-compact-svd,modal-full4-svd,source_cv_recommended_juan_only,False,6,0_60,-0.4443403970110479,1.3072412120241514,6.301090447397698,1100.4048518456054,60.0
profile-ring-compact-svd,modal-full4-svd,source_cv_recommended_juan_only,False,6,70_90,-3.376579728195786,5.971586396104702,15.277531229580724,300.0,90.0
profile-ring-compact-svd,modal-full4-svd,source_cv_recommended_juan_only,False,6,80_90,-4.555564746792966,7.0513943525511635,15.277531229580724,300.0,90.0
profile-ring-compact-svd,modal-full4-svd,source_cv_recommended_juan_only,False,6,90,-8.56481502123781,9.53608506026351,15.277531229580724,300.0,90.0
profile-ring-compact-svd,profile-ring-full-svd,source_cv_recommended_juan_only,False,6,0_60,-0.005775950959631173,0.031229658731013937,0.13358406411670387,980.3492719446599,60.0
profile-ring-compact-svd,profile-ring-full-svd,source_cv_recommended_juan_only,False,6,70_90,0.01490117666764979,0.1890157318649007,0.6285571797609464,300.0,90.0
profile-ring-compact-svd,profile-ring-full-svd,source_cv_recommended_juan_only,False,6,80_90,0.02981299044803671,0.2271570745782903,0.6285571797609464,300.0,90.0
profile-ring-compact-svd,profile-ring-full-svd,source_cv_recommended_juan_only,False,6,90,0.08124509842455876,0.31410887959686207,0.6285571797609464,300.0,90.0
profile-ring-compact-svd,profile-ring-full,source_cv_recommended_juan_only,False,6,0_60,-0.005894754273237791,0.03055062545738596,0.13919931972250765,980.3492719446599,60.0
profile-ring-compact-svd,profile-ring-full,source_cv_recommended_juan_only,False,6,70_90,0.01352164344677602,0.18620531674069504,0.6190939389784731,300.0,90.0
profile-ring-compact-svd,profile-ring-full,source_cv_recommended_juan_only,False,6,80_90,0.028485940823391346,0.22366665166116195,0.6190939389784731,300.0,90.0
profile-ring-compact-svd,profile-ring-full,source_cv_recommended_juan_only,False,6,90,0.0809001996102243,0.30881921943476515,0.6190939389784731,300.0,90.0
profile-ring-full,modal-compact2,source_cv_recommended_juan_only,True,6,0_60,0.5751190800252387,1.0657688010681865,3.8563398103946014,824.3721884748535,60.0
profile-ring-full,modal-compact2,source_cv_recommended_juan_only,True,6,70_90,-5.86310991340298,13.248805448172181,26.478186253526836,734.4321259827932,90.0
profile-ring-full,modal-compact2,source_cv_recommended_juan_only,True,6,80_90,-9.963030478837057,16.11122834905508,26.478186253526836,734.4321259827932,90.0
profile-ring-full,modal-compact2,source_cv_recommended_juan_only,True,6,90,-22.463886599773666,22.530888513332044,26.478186253526836,734.4321259827932,90.0
profile-ring-full,modal-full2,source_cv_recommended_juan_only,True,6,0_60,0.6202587817499166,1.1164248218997102,3.951193256273797,824.3721884748535,60.0
profile-ring-full,modal-full2,source_cv_recommended_juan_only,True,6,70_90,-5.888348602296249,13.405845668712228,26.654627997485264,734.4321259827932,90.0
profile-ring-full,modal-full2,source_cv_recommended_juan_only,True,6,80_90,-10.073815489505094,16.294776661362874,26.654627997485264,734.4321259827932,90.0
profile-ring-full,modal-full2,source_cv_recommended_juan_only,True,6,90,-22.712903133621204,22.789230982175425,26.654627997485264,734.4321259827932,90.0
profile-ring-full,modal-compact3,source_cv_recommended_juan_only,True,6,0_60,0.3764854598402214,0.9404570953490031,3.0455349630706436,824.3721884748535,60.0
profile-ring-full,modal-compact3,source_cv_recommended_juan_only,True,6,70_90,-5.262709922863532,11.569887556171183,22.204631636476236,412.18609423742674,90.0
profile-ring-full,modal-compact3,source_cv_recommended_juan_only,True,6,80_90,-8.69858221664142,14.07850170734522,22.204631636476236,412.18609423742674,90.0
profile-ring-full,modal-compact3,source_cv_recommended_juan_only,True,6,90,-19.47324355654894,19.66841421028501,22.204631636476236,412.18609423742674,90.0
